instance,num_phases,w_balanced,method,k,digraph_nodes,digraph_edges,subgraph_edges,subgraph_pct,d_edges,digraph_build_s,build_s,solve_s,elapsed_s,objective,ideal_obj,obj_vs_ideal_pct,d_obj_pct,path_cost,c_min,path_cost_vs_cmin_pct,alpha_abs,phase_width,alpha_vs_width_pct,imbalance_pct,abs_time_per_phase,ops_per_phase,n_ops_total,stop_perc_graph,stop_reason
assembly_1,2,0.1,adaptive,1,343,1105,31,2.81,31,0.304,0.009,0.012,0.021,0.8348,0.8329,0.22,,0.8329,0.8329,0.0,1102.04,1078.425,2.19,4.38,"[1102.04, 1054.81]","[6, 7]",13,10.0,
assembly_1,2,0.1,adaptive,2,343,1105,36,3.26,5,0.304,0.015,0.048,0.063,0.8348,0.8329,0.22,0.0,0.8329,0.8329,0.0,1102.04,1078.425,2.19,4.38,"[1102.04, 1054.81]","[6, 7]",13,10.0,
assembly_1,2,0.1,adaptive,3,343,1105,42,3.8,6,0.304,0.023,0.057,0.08,0.8348,0.8329,0.22,0.0,0.8329,0.8329,0.0,1102.04,1078.425,2.19,4.38,"[1102.04, 1054.81]","[6, 7]",13,10.0,
assembly_1,2,0.1,adaptive,4,343,1105,45,4.07,3,0.304,0.048,0.082,0.13,0.8348,0.8329,0.22,-0.0,0.8329,0.8329,0.0,1102.04,1078.425,2.19,4.38,"[1102.04, 1054.81]","[6, 7]",13,10.0,
assembly_1,2,0.1,adaptive,6,343,1105,52,4.71,7,0.304,0.053,0.08,0.133,0.8348,0.8329,0.22,0.0,0.8329,0.8329,0.0,1102.04,1078.425,2.19,4.38,"[1102.04, 1054.81]","[6, 7]",13,10.0,
assembly_1,2,0.1,adaptive,8,343,1105,61,5.52,9,0.304,0.073,0.163,0.236,0.8348,0.8329,0.22,0.0,0.8329,0.8329,0.0,1102.04,1078.425,2.19,4.38,"[1102.04, 1054.81]","[6, 7]",13,10.0,
assembly_1,2,0.1,adaptive,12,343,1105,71,6.43,10,0.304,0.094,0.252,0.346,0.8348,0.8329,0.22,-0.0,0.8329,0.8329,0.0,1102.04,1078.425,2.19,4.38,"[1102.04, 1054.81]","[6, 7]",13,10.0,
assembly_1,2,0.1,adaptive,16,343,1105,82,7.42,11,0.304,0.114,0.318,0.432,0.8348,0.8329,0.22,0.0,0.8329,0.8329,0.0,1102.04,1078.425,2.19,4.38,"[1102.04, 1054.81]","[6, 7]",13,10.0,
assembly_1,2,0.1,adaptive,24,343,1105,93,8.42,11,0.304,0.162,0.181,0.343,0.8348,0.8329,0.22,-0.0,0.8329,0.8329,0.0,1102.04,1078.425,2.19,4.38,"[1102.04, 1054.81]","[6, 7]",13,10.0,
assembly_1,2,0.1,adaptive,32,343,1105,109,9.86,16,0.304,0.224,0.231,0.455,0.8348,0.8329,0.22,0.0,0.8329,0.8329,0.0,1102.04,1078.425,2.19,4.38,"[1102.04, 1054.81]","[6, 7]",13,10.0,
assembly_1,2,0.1,adaptive,48,343,1105,245,22.17,136,0.304,0.228,0.547,0.775,0.8348,0.8329,0.22,0.0,0.8329,0.8329,0.0,1102.04,1078.425,2.19,4.38,"[1102.04, 1054.81]","[6, 7]",13,10.0,stop_perc_graph
assembly_1,2,0.2,adaptive,1,343,1105,31,2.81,31,0.24,0.009,0.034,0.043,0.8366,0.8329,0.44,,0.8329,0.8329,0.0,1102.04,1078.425,2.19,4.38,"[1102.04, 1054.81]","[6, 7]",13,10.0,
assembly_1,2,0.2,adaptive,2,343,1105,36,3.26,5,0.24,0.016,0.087,0.103,0.8366,0.8329,0.44,0.0,0.8329,0.8329,0.0,1102.04,1078.425,2.19,4.38,"[1102.04, 1054.81]","[6, 7]",13,10.0,
assembly_1,2,0.2,adaptive,3,343,1105,42,3.8,6,0.24,0.035,0.114,0.149,0.8366,0.8329,0.44,0.0,0.8329,0.8329,0.0,1102.04,1078.425,2.19,4.38,"[1102.04, 1054.81]","[6, 7]",13,10.0,
assembly_1,2,0.2,adaptive,4,343,1105,45,4.07,3,0.24,0.028,0.076,0.104,0.8366,0.8329,0.44,0.0,0.8329,0.8329,0.0,1102.04,1078.425,2.19,4.38,"[1102.04, 1054.81]","[6, 7]",13,10.0,
assembly_1,2,0.2,adaptive,6,343,1105,52,4.71,7,0.24,0.059,0.067,0.126,0.8366,0.8329,0.44,0.0,0.8329,0.8329,0.0,1102.04,1078.425,2.19,4.38,"[1102.04, 1054.81]","[6, 7]",13,10.0,
assembly_1,2,0.2,adaptive,8,343,1105,61,5.52,9,0.24,0.05,0.197,0.247,0.8366,0.8329,0.44,0.0,0.8329,0.8329,0.0,1102.04,1078.425,2.19,4.38,"[1102.04, 1054.81]","[6, 7]",13,10.0,
assembly_1,2,0.2,adaptive,12,343,1105,71,6.43,10,0.24,0.085,0.266,0.351,0.8366,0.8329,0.44,0.0,0.8329,0.8329,0.0,1102.04,1078.425,2.19,4.38,"[1102.04, 1054.81]","[6, 7]",13,10.0,
assembly_1,2,0.2,adaptive,16,343,1105,82,7.42,11,0.24,0.123,0.374,0.497,0.8366,0.8329,0.44,-0.0,0.8329,0.8329,0.0,1102.04,1078.425,2.19,4.38,"[1102.04, 1054.81]","[6, 7]",13,10.0,
assembly_1,2,0.2,adaptive,24,343,1105,93,8.42,11,0.24,0.141,0.265,0.406,0.8366,0.8329,0.44,0.0,0.8329,0.8329,0.0,1102.04,1078.425,2.19,4.38,"[1102.04, 1054.81]","[6, 7]",13,10.0,
assembly_1,2,0.2,adaptive,32,343,1105,109,9.86,16,0.24,0.246,0.604,0.849,0.8366,0.8329,0.44,-0.0,0.8329,0.8329,0.0,1102.04,1078.425,2.19,4.38,"[1102.04, 1054.81]","[6, 7]",13,10.0,
assembly_1,2,0.2,adaptive,48,343,1105,244,22.08,135,0.24,0.235,0.398,0.633,0.8366,0.8329,0.44,0.0,0.8329,0.8329,0.0,1102.04,1078.425,2.19,4.38,"[1102.04, 1054.81]","[6, 7]",13,10.0,stop_perc_graph
assembly_1,2,0.3,adaptive,1,343,1105,31,2.81,31,0.261,0.018,0.053,0.07,0.8384,0.8329,0.65,,0.8361,0.8329,0.38,1092.52,1078.425,1.31,2.61,"[1092.52, 1064.33]","[6, 7]",13,10.0,
assembly_1,2,0.3,adaptive,2,343,1105,36,3.26,5,0.261,0.019,0.151,0.17,0.8384,0.8329,0.65,-0.0,0.8361,0.8329,0.38,1092.52,1078.425,1.31,2.61,"[1092.52, 1064.33]","[6, 7]",13,10.0,
assembly_1,2,0.3,adaptive,3,343,1105,42,3.8,6,0.261,0.033,0.113,0.146,0.8384,0.8329,0.65,0.0,0.8361,0.8329,0.38,1092.52,1078.425,1.31,2.61,"[1092.52, 1064.33]","[6, 7]",13,10.0,
assembly_1,2,0.3,adaptive,4,343,1105,45,4.07,3,0.261,0.041,0.114,0.154,0.8384,0.8329,0.65,0.0,0.8361,0.8329,0.38,1092.52,1078.425,1.31,2.61,"[1092.52, 1064.33]","[6, 7]",13,10.0,
assembly_1,2,0.3,adaptive,6,343,1105,52,4.71,7,0.261,0.038,0.15,0.188,0.8384,0.8329,0.65,-0.0,0.8361,0.8329,0.38,1092.52,1078.425,1.31,2.61,"[1092.52, 1064.33]","[6, 7]",13,10.0,
assembly_1,2,0.3,adaptive,8,343,1105,61,5.52,9,0.261,0.048,0.082,0.13,0.8384,0.8329,0.65,0.0,0.8361,0.8329,0.38,1092.52,1078.425,1.31,2.61,"[1092.52, 1064.33]","[6, 7]",13,10.0,
assembly_1,2,0.3,adaptive,12,343,1105,71,6.43,10,0.261,0.086,0.234,0.32,0.8384,0.8329,0.65,0.0,0.8361,0.8329,0.38,1092.52,1078.425,1.31,2.61,"[1092.52, 1064.33]","[6, 7]",13,10.0,
assembly_1,2,0.3,adaptive,16,343,1105,82,7.42,11,0.261,0.113,0.31,0.423,0.8384,0.8329,0.65,0.0,0.8361,0.8329,0.38,1092.52,1078.425,1.31,2.61,"[1092.52, 1064.33]","[6, 7]",13,10.0,
assembly_1,2,0.3,adaptive,24,343,1105,93,8.42,11,0.261,0.147,0.446,0.593,0.8384,0.8329,0.65,0.0,0.8361,0.8329,0.38,1092.52,1078.425,1.31,2.61,"[1092.52, 1064.33]","[6, 7]",13,10.0,
assembly_1,2,0.3,adaptive,32,343,1105,109,9.86,16,0.261,0.22,0.406,0.626,0.8384,0.8329,0.65,-0.0,0.8361,0.8329,0.38,1092.52,1078.425,1.31,2.61,"[1092.52, 1064.33]","[6, 7]",13,10.0,
assembly_1,2,0.3,adaptive,48,343,1105,246,22.26,137,0.261,0.186,0.293,0.48,0.8384,0.8329,0.65,0.0,0.8361,0.8329,0.38,1092.52,1078.425,1.31,2.61,"[1092.52, 1064.33]","[6, 7]",13,10.0,stop_perc_graph
assembly_1,2,0.4,adaptive,1,343,1105,31,2.81,31,0.242,0.009,0.031,0.04,0.8392,0.8329,0.75,,0.8361,0.8329,0.38,1092.52,1078.425,1.31,2.61,"[1092.52, 1064.33]","[6, 7]",13,10.0,
assembly_1,2,0.4,adaptive,2,343,1105,36,3.26,5,0.242,0.015,0.089,0.103,0.8392,0.8329,0.75,-0.0,0.8361,0.8329,0.38,1092.52,1078.425,1.31,2.61,"[1092.52, 1064.33]","[6, 7]",13,10.0,
assembly_1,2,0.4,adaptive,3,343,1105,42,3.8,6,0.242,0.027,0.117,0.144,0.8392,0.8329,0.75,0.0,0.8361,0.8329,0.38,1092.52,1078.425,1.31,2.61,"[1092.52, 1064.33]","[6, 7]",13,10.0,
assembly_1,2,0.4,adaptive,4,343,1105,45,4.07,3,0.242,0.035,0.173,0.208,0.8392,0.8329,0.75,-0.0,0.8361,0.8329,0.38,1092.52,1078.425,1.31,2.61,"[1092.52, 1064.33]","[6, 7]",13,10.0,
assembly_1,2,0.4,adaptive,6,343,1105,52,4.71,7,0.242,0.05,0.202,0.252,0.8392,0.8329,0.75,0.0,0.8361,0.8329,0.38,1092.52,1078.425,1.31,2.61,"[1092.52, 1064.33]","[6, 7]",13,10.0,
assembly_1,2,0.4,adaptive,8,343,1105,61,5.52,9,0.242,0.063,0.206,0.269,0.8392,0.8329,0.75,-0.0,0.8361,0.8329,0.38,1092.52,1078.425,1.31,2.61,"[1092.52, 1064.33]","[6, 7]",13,10.0,
assembly_1,2,0.4,adaptive,12,343,1105,71,6.43,10,0.242,0.086,0.186,0.272,0.8392,0.8329,0.75,0.0,0.8361,0.8329,0.38,1092.52,1078.425,1.31,2.61,"[1092.52, 1064.33]","[6, 7]",13,10.0,
assembly_1,2,0.4,adaptive,16,343,1105,82,7.42,11,0.242,0.118,0.396,0.514,0.8392,0.8329,0.75,0.0,0.8361,0.8329,0.38,1092.52,1078.425,1.31,2.61,"[1092.52, 1064.33]","[6, 7]",13,10.0,
assembly_1,2,0.4,adaptive,24,343,1105,93,8.42,11,0.242,0.134,0.283,0.417,0.8392,0.8329,0.75,0.0,0.8361,0.8329,0.38,1092.52,1078.425,1.31,2.61,"[1092.52, 1064.33]","[6, 7]",13,10.0,
assembly_1,2,0.4,adaptive,32,343,1105,109,9.86,16,0.242,0.23,0.452,0.682,0.8392,0.8329,0.75,-0.0,0.8361,0.8329,0.38,1092.52,1078.425,1.31,2.61,"[1092.52, 1064.33]","[6, 7]",13,10.0,
assembly_1,2,0.4,adaptive,48,343,1105,238,21.54,129,0.242,0.236,0.306,0.541,0.8392,0.8329,0.75,-0.0,0.8361,0.8329,0.38,1092.52,1078.425,1.31,2.61,"[1092.52, 1064.33]","[6, 7]",13,10.0,stop_perc_graph
assembly_1,2,0.5,adaptive,1,343,1105,31,2.81,31,0.305,0.009,0.051,0.06,0.8399,0.8329,0.84,,0.8361,0.8329,0.38,1092.52,1078.425,1.31,2.61,"[1092.52, 1064.33]","[6, 7]",13,10.0,
assembly_1,2,0.5,adaptive,2,343,1105,36,3.26,5,0.305,0.027,0.111,0.137,0.8399,0.8329,0.84,-0.0,0.8361,0.8329,0.38,1092.52,1078.425,1.31,2.61,"[1092.52, 1064.33]","[6, 7]",13,10.0,
assembly_1,2,0.5,adaptive,3,343,1105,42,3.8,6,0.305,0.025,0.106,0.131,0.8399,0.8329,0.84,0.0,0.8361,0.8329,0.38,1092.52,1078.425,1.31,2.61,"[1092.52, 1064.33]","[6, 7]",13,10.0,
assembly_1,2,0.5,adaptive,4,343,1105,45,4.07,3,0.305,0.036,0.08,0.115,0.8399,0.8329,0.84,-0.0,0.8361,0.8329,0.38,1092.52,1078.425,1.31,2.61,"[1092.52, 1064.33]","[6, 7]",13,10.0,
assembly_1,2,0.5,adaptive,6,343,1105,52,4.71,7,0.305,0.05,0.133,0.183,0.8399,0.8329,0.84,0.0,0.8361,0.8329,0.38,1092.52,1078.425,1.31,2.61,"[1092.52, 1064.33]","[6, 7]",13,10.0,
assembly_1,2,0.5,adaptive,8,343,1105,61,5.52,9,0.305,0.049,0.101,0.15,0.8399,0.8329,0.84,0.0,0.8361,0.8329,0.38,1092.52,1078.425,1.31,2.61,"[1092.52, 1064.33]","[6, 7]",13,10.0,
assembly_1,2,0.5,adaptive,12,343,1105,71,6.43,10,0.305,0.093,0.212,0.305,0.8399,0.8329,0.84,-0.0,0.8361,0.8329,0.38,1092.52,1078.425,1.31,2.61,"[1092.52, 1064.33]","[6, 7]",13,10.0,
assembly_1,2,0.5,adaptive,16,343,1105,82,7.42,11,0.305,0.103,0.255,0.358,0.8399,0.8329,0.84,0.0,0.8361,0.8329,0.38,1092.52,1078.425,1.31,2.61,"[1092.52, 1064.33]","[6, 7]",13,10.0,
assembly_1,2,0.5,adaptive,24,343,1105,93,8.42,11,0.305,0.179,0.286,0.465,0.8399,0.8329,0.84,-0.0,0.8361,0.8329,0.38,1092.52,1078.425,1.31,2.61,"[1092.52, 1064.33]","[6, 7]",13,10.0,
assembly_1,2,0.5,adaptive,32,343,1105,109,9.86,16,0.305,0.213,0.471,0.684,0.8399,0.8329,0.84,-0.0,0.8361,0.8329,0.38,1092.52,1078.425,1.31,2.61,"[1092.52, 1064.33]","[6, 7]",13,10.0,
assembly_1,2,0.5,adaptive,48,343,1105,240,21.72,131,0.305,0.244,0.296,0.54,0.8399,0.8329,0.84,0.0,0.8361,0.8329,0.38,1092.52,1078.425,1.31,2.61,"[1092.52, 1064.33]","[6, 7]",13,10.0,stop_perc_graph
assembly_1,2,0.6,adaptive,1,343,1105,31,2.81,31,0.258,0.009,0.022,0.031,0.8407,0.8329,0.93,,0.8361,0.8329,0.38,1092.52,1078.425,1.31,2.61,"[1092.52, 1064.33]","[6, 7]",13,10.0,
assembly_1,2,0.6,adaptive,2,343,1105,36,3.26,5,0.258,0.025,0.079,0.104,0.8407,0.8329,0.93,-0.0,0.8361,0.8329,0.38,1092.52,1078.425,1.31,2.61,"[1092.52, 1064.33]","[6, 7]",13,10.0,
assembly_1,2,0.6,adaptive,3,343,1105,42,3.8,6,0.258,0.04,0.101,0.141,0.8407,0.8329,0.93,0.0,0.8361,0.8329,0.38,1092.52,1078.425,1.31,2.61,"[1092.52, 1064.33]","[6, 7]",13,10.0,
